404,nibbisaya
405,nimantana
406,nimmadaya
407,niyyāta
408,niravasesa
409,nirupama
410,nivattana
411,nivuttha
412,nisedha
413,nissārajja
414,nīruja
415,ne
416,nemiya
419,pa
420,pakappeṭi
421,pakkaṭṭhī
422,pakkhin
423,paggharaṇa
424,paccakkhāna
425,paccanīya
426,paccuṭṭhāna
427,pacchāda
428,pajjati
429,pañca
430,pañcaka
43,paññā
432,paṭi
433,paṭikujjana
434,paṭiggaha
435,paṭicchaka
436,paṭicchādita
437,paṭipaharati
438,paṭibhajati
439,paṭiruddha
440,paṭivinīta
441,paṭisaṅkhāna
442,paṭisārin
443,paṭṭaka
444,paṇāmita
445,paṇḍuka
446,patāyati
447,patta
448,pattiya
449,padaka
450,padālana
451,padesa
452,padhāvati
453,pannaka
454,pappaṭaka
455,pabbataka
456,pabhāṇin
457,pamāṇavant
458,pamussati
459,payogatā
460,paraṁ
461,paramatā
462,pari
463,parikilanta
464,parikkhipati
465,paricārita
466,parijita
467,paritassanā
468,paridevanā
469,parinibbuta
470,paripuṇṇatā
471,paribyattatā
472,parimajjana
473,pariyanta
474,pariyāputa
475,pariyogāḷha
476,parivaṇṇita
477,parivitakketi
478,parisiñcati
479,parihaṭṭha
480,pareti
481,palāyana
482,palibujjhati
483,pallava
484,pavara
485,pavivitta
486,pavesetar
487,pasāda
488,passaddha
489,pahassati
490,pākata
491,pāṭikkulyatā
492,pāṇaka
493,pātheyyaka
494,pāpika
495,pāramī
496,pālana
497,pāsādika
498,piṭṭha
499,piṇḍaka
500,pittika
501,piyāla
502,pisodara
503,pītika
504,pucchana
505,puññavant
506,puṇṇatā
507,puthujjanatā
508,pupphati
509,pubbaka
510,purima
511,purekkhata
512,pūra
513,petattana
514,pesana
515,poṭakī
516,porisa
521,phaggu
522,phala
523,phalima
524,phāleti
525,phusati
526,ba
527,bandhana
528,bala
529,balī
530,bahuka
531,bāla
532,bāhulya
533,biḷāra
534,buddha
535,buddhaka
536,bodha
537,byagā
538,brahma
539,brahmaka
540,brāhmaṇa
541,bha
542,bhaṅgana
543,bhaṇḍana
544,bhaddaka
545,bhallaka
546,bhavatta
547,bhāgavant
548,bhātuka
549,bhāvanā
550,bhikkhaka
551,bhidura
552,bhuṅkaraṇa
553,bhummi
554,bhūtika
555,bheṇḍuka
556,bhogika
557,m
558,makkha
559,maggati
560,macchara
561,majjhima
562,maṭṭa
563,maṇḍalika
564,matteyya
565,maddavatā
566,manute
567,mano
568,manta
569,mantha
570,mayaṁ
571,malina
572,mahant
573,mahantatā
574,mātika
575,mānana
576,māyu
577,māluka
578,miga
579,middha
580,missakatta
581,muggatiya
582,muñcana
583,mutimant
584,muddā
585,mummura
586,mūlaka
587,mettāyati
588,mokkhati
589,moli
590,moha
593,y
594,ya
595,yakkha
596,yakkhatta
597,yañña
598,yatta
599,yathā
600,yadi
601,yamala
602,yācaka
603,yādicchakaṁ
604,yāpya
605,yāvaka
606,yidha
607,yutta
608,yeva
609,yogga
610,r
611,rakkhita
612,rajo
613,rata
614,ratin
615,ratha
616,rava
617,rasa
618,rāgin
619,rājā
620,rāji
62,rāsika
62,ruca
623,ruta
624,rummin
625,rūpa
626,rūhati
627,ropa
628,la
629,lakkhika
630,lajjana
631,laddhā
632,lambita
633,lāpu
634,likhita
635,luta
636,lekhana
637,loka
638,lokiya
639,lomaka
640,v
641,vaṁsika
642,vaṅkeyya
643,vacchati
644,vaṭaṁsa
645,vaṭṭikā
646,vaḍḍhita
647,vaṇṇaka
648,vatta
649,vatthu
650,vaddheti
651,vanibbaka
652,vammīka
653,valaya
654,vavakaṭṭha
655,vasalaka
656,vassana
657,vācasika
658,vātaka
659,vāma
660,vāreyya
661,vāsin
662,vikata
663,vikāsa
664,vikkīḷita
665,vigāhati
666,vicikicchita
667,vijāti
668,vijju
669,viññāṇa
670,viññeyya
671,vitta
672,vidūra
673,vidhānavant
674,vinā
675,vinibbhoga
676,vindussara
677,viparīta
678,vippakata
679,vipphāravant
680,vibhāta
683,vimajjana
684,vimāna
685,vimocana
686,virajjana
687,virādhanā
688,vilaṅghaka
689,vilokita
690,vivattati
691,vivekattā
692,visada
693,visīvana
694,vissa
695,vihata
696,viheseti
697,vīmaṁsana
698,vutta
699,vuḷha
700,vetta
701,vedeha
702,veyyaggha
703,veḷu
704,vokiṇṇaka
705,vossajjati
706,vyappathi
707,vyāpāda
708,s
709,saṁyamati
710,saṁvattanika
711,saṁvūḷha
712,saṁsijjhati
713,sakaṇṇajappaka
714,sakkāra
715,sagocara
716,saṅkita
717,saṅkha
718,saṅkhāra
719,saṅgacchati
720,saṅguḷikā
721,sacca
722,sajju
723,sañjanati
724,saññāvant
725,saṇḍāsa
726,satekiccha
727,sattuka
728,saddahanā
729,santa
730,santuṭṭha
731,sandita
732,sannidhāna
733,sapariggaha
734,sabbatthatā
735,samacariyā
736,samadhigacchati
737,samara
738,samādinna
739,samāpaṭipatti
740,samidhā
741,samudācarati
742,samussāpita
743,sampaggāha
744,sampadāti
745,sampavattar
746,sampuṭita
747,sambodhana
748,sambhoti
749,sammāna
750,sammodana
751,sarati
752,salākā
753,savantī
754,saha
755,sākacchā
756,sātaka
757,sānu
758,sāmika
759,sārada
760,sāliya
761,siṁsati
762,siggu
763,sināta
764,sibbitar
765,sīta
766,sīla
767,sīsaka
768,su
769,sukkhati
770,suṅkika
771,suta
772,suddhaka
773,sumanā
774,susu
775,sūra
776,seda
777,sevaka
778,soṇḍī
779,sopavāhana
780,sosika
781,hati
782,han
783,hariṇa
784,hāyana
785,hiri
786,heṭṭhima
